wik,6,glory,"('crane', 'frame', 'deers', 'clone', 'doors', 'claws')"
wiktor,6,gross,"('crane', 'frame', 'doors', 'close', 'clone', 'cross')"
wiskejt,2,bring,"('crane', 'front')"
wiktor,1,rusty,"('crane',)"
test,1,vixen,"('doors',)"
test2,2,lemon,"('gamer', 'crane')"
